compare,bit_i,bit_j,line_i,line_j,data_ro_i,data_ro_j,delta_abs_pearson,delta_mi_bits,label_abs_pearson,base_abs_pearson,label_mi_bits,base_mi_bits
w11_minus_w5,32,40,4,5,0,0,0.027507037,0.062368649,0.925942094,0.898435057,0.772645805,0.710277157
w11_minus_w5,1,57,0,7,1,1,0.045627199,0.061841773,0.751127978,0.705500779,0.459249356,0.397407584
w10_minus_w5,25,49,3,6,1,1,-0.253973190,-0.061012108,0.037087406,0.291060596,0.000992422,0.062004531
w11_minus_w5,5,21,0,2,5,5,0.028538412,0.059857155,0.922233123,0.893694711,0.765268541,0.705411385
w11_minus_w5,2,10,0,1,2,2,0.043520705,0.058998522,0.762049547,0.718528842,0.469362669,0.410364147
w10_minus_w5,19,35,2,4,3,3,-0.062827075,-0.058449744,0.537835305,0.600662381,0.222073844,0.280523588
w11_minus_w5,14,38,1,4,6,6,0.043044128,0.058120199,0.759520138,0.716476010,0.467406013,0.409285814
w11_minus_w5,28,52,3,6,4,4,0.050975819,0.056993385,0.672908697,0.621932879,0.357895667,0.300902281
w11_minus_w5,50,58,6,7,2,2,0.045052503,0.054527091,0.710782700,0.665730196,0.402147483,0.347620392
w11_minus_w5,19,43,2,5,3,3,0.030921741,0.052807363,0.823983422,0.793061682,0.582663776,0.529856413
w11_minus_w5,5,13,0,1,5,5,-0.033975289,-0.052724466,0.760971520,0.794946809,0.473460359,0.526184825
w10_minus_w5,52,60,6,7,4,4,-0.236349234,-0.052350237,0.033416576,0.269765810,0.000805663,0.053155900
w11_minus_w5,28,36,3,4,4,4,-0.037521430,-0.051110686,0.714703610,0.752225041,0.408753530,0.459864216
w10_minus_w5,51,59,6,7,3,3,0.245955191,0.050920944,0.264812182,0.018856991,0.051177443,0.000256499
w10_minus_w5,15,63,1,7,7,7,0.079219631,0.050152373,0.447446424,0.368226793,0.150135987,0.099983614
w11_minus_w5,23,47,2,5,7,7,0.054545576,0.049125626,0.572543887,0.517998311,0.254455308,0.205329683
w11_minus_w5,9,49,1,6,1,1,-0.048794661,-0.048482327,0.572469748,0.621264409,0.251440791,0.299923117
w10_minus_w5,21,29,2,3,5,5,-0.242292863,-0.048406490,0.015754792,0.258047654,0.000179056,0.048585546
w11_minus_w5,16,32,2,4,0,0,-0.019348645,-0.048215860,0.933843234,0.953191879,0.792471150,0.840687010
w10_minus_w5,9,25,1,3,1,1,-0.042748347,-0.047765677,0.627873320,0.670621667,0.307236082,0.355001758
