bin,count,probability,width_ps_nominal,ideal_width_ps,dnl_lsb,inl_lsb,phase_center_ps_nominal,dead_code
40,1339,0.005107899123760695,25.539495618803475,76.92307692307692,-0.6679865569555548,-5.9942779322736035,2679.9781035541682,0
41,62,0.00023651213269093585,1.1825606634546793,76.92307692307692,-0.9846267113750892,-6.978904643648693,2693.339131695297,0
42,1429,0.005451223187344312,27.25611593672156,76.92307692307692,-0.6456704928226198,-7.624575136471313,2707.558469995385,0
43,815,0.0031089901313405277,15.544950656702639,76.92307692307692,-0.7979156414628656,-8.422490777934179,2728.9590032920973,0
44,1184,0.004516618792033356,22.583093960166778,76.92307692307692,-0.7064197785178319,-9.128910556452011,2748.0230256005316,0
45,162,0.0006179833144505098,3.089916572252549,76.92307692307692,-0.9598310845607169,-10.088741641012728,2760.8595308667414,0
46,1132,0.004318253777518377,21.591268887591887,76.92307692307692,-0.7193135044613055,-10.808055145474034,2773.2001235966636,0
47,1217,0.004642504282014015,23.212521410070075,76.92307692307692,-0.6982372216690891,-11.506292367143123,2795.6020187454947,0
48,1836,0.007003810897105778,35.01905448552889,76.92307692307692,-0.5447522916881244,-12.051044658831248,2824.7178066932943,0
49,32,0.00012207077816306366,0.6103538908153183,76.92307692307692,-0.9920653994194009,-13.04311005825065,2842.532510881467,0
50,1414,0.005394002510080376,26.97001255040188,76.92307692307692,-0.6493898368447756,-13.692499895095425,2856.3226941020757,0
51,1033,0.003940597307576399,19.702986537881994,76.92307692307692,-0.7438611750075341,-14.43636107010296,2879.6591936462173,0
52,791,0.00301743704771823,15.08718523859115,76.92307692307692,-0.803866591898315,-15.240227662001274,2897.0542795344536,0
53,279,0.0010643045971092113,5.321522985546057,76.92307692307692,-0.9308202011879012,-16.171047863189177,2907.2586336465224,0
54,1509,0.005756400132751971,28.782000663759856,76.92307692307692,-0.625833991371122,-16.796881854560297,2924.3103954711755,0
55,919,0.0035057201603704846,17.528600801852424,76.92307692307692,-0.7721281895759184,-17.569010044136217,2947.465696203981,0
56,3360,0.012817431707121685,64.08715853560842,76.92307692307692,-0.1668669390370905,-17.735876983173306,2988.2735758727117,0
57,149,0.0005683920608217652,2.841960304108826,76.92307692307692,-0.9630545160465853,-18.698931499219892,3021.7381352925704,0
58,1163,0.004436509843863845,22.182549219319224,76.92307692307692,-0.71162686014885,-19.410558359368743,3034.2503900542847,0
59,728,0.0027771102032096984,13.885551016048492,76.92307692307692,-0.8194878367913696,-20.230046196160114,3052.2844401719685,0
60,1402,0.005348225968269227,26.741129841346133,76.92307692307692,-0.6523653120625003,-20.882411508222614,3072.597780600666,0
61,1128,0.004302994930247994,21.51497465123997,76.92307692307692,-0.7203053295338804,-21.602716837756493,3096.725832846959,0
62,908,0.0034637583303769315,17.31879165188466,76.92307692307692,-0.7748557085254995,-22.377572546281993,3116.142715998521,0
63,0,0.0,0.0,76.92307692307692,-1.0,-23.377572546281993,3124.8021118244633,1
64,98314,0.37503957763510753,1875.1978881755376,76.92307692307692,23.377572546281993,0.0,4062.401055912232,0
