name,ref_name,loc,bel
u_entropy_source/RO_NUM_LOOP[4].RO_STAGE_LOOP[0].u_LUT6_not1/GND,GND,,
u_entropy_source/RO_NUM_LOOP[4].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6,LUT6,SLICE_X49Y41,SLICEL.B6LUT
u_entropy_source/RO_NUM_LOOP[5].RO_AND.u_LUT6_and2_1,LUT6_and2_1_8,,
u_entropy_source/RO_NUM_LOOP[5].RO_AND.u_LUT6_and2_1/GND,GND,,
u_entropy_source/RO_NUM_LOOP[5].RO_AND.u_LUT6_and2_1/u_LUT6,LUT6,SLICE_X67Y36,SLICEL.C6LUT
u_entropy_source/RO_NUM_LOOP[5].RO_STAGE_LOOP[0].u_LUT6_not1,LUT6_not1_9,,
u_entropy_source/RO_NUM_LOOP[5].RO_STAGE_LOOP[0].u_LUT6_not1/GND,GND,,
u_entropy_source/RO_NUM_LOOP[5].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6,LUT6,SLICE_X67Y36,SLICEL.D6LUT
u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1,LUT6_and2_1_10,,
u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1/GND,GND,,
u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1/u_LUT6,LUT6,SLICE_X60Y62,SLICEL.A6LUT
u_entropy_source/RO_NUM_LOOP[6].RO_STAGE_LOOP[0].u_LUT6_not1,LUT6_not1_11,,
u_entropy_source/RO_NUM_LOOP[6].RO_STAGE_LOOP[0].u_LUT6_not1/GND,GND,,
u_entropy_source/RO_NUM_LOOP[6].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6,LUT6,SLICE_X60Y62,SLICEL.B6LUT
u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1,LUT6_and2_1_12,,
u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1/GND,GND,,
u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1/u_LUT6,LUT6,SLICE_X36Y63,SLICEM.C6LUT
u_entropy_source/RO_NUM_LOOP[7].RO_STAGE_LOOP[0].u_LUT6_not1,LUT6_not1_13,,
u_entropy_source/RO_NUM_LOOP[7].RO_STAGE_LOOP[0].u_LUT6_not1/GND,GND,,
u_entropy_source/RO_NUM_LOOP[7].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6,LUT6,SLICE_X36Y63,SLICEM.D6LUT
u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1,LUT6_not1_14,,
u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/GND,GND,,
u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6,LUT6,SLICE_X46Y32,SLICEM.A6LUT
u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1,LUT6_not1_15,,
u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/GND,GND,,
u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/u_LUT6,LUT6,SLICE_X46Y32,SLICEM.B6LUT
u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1,LUT6_not1_16,,
u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/GND,GND,,
u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/u_LUT6,LUT6,SLICE_X46Y33,SLICEM.A6LUT
u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1,LUT6_not1_17,,
u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/GND,GND,,
u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/u_LUT6,LUT6,SLICE_X46Y34,SLICEM.A6LUT
u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1,LUT6_not1_18,,
u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/GND,GND,,
u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/u_LUT6,LUT6,SLICE_X46Y35,SLICEM.A6LUT
u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1,LUT6_not1_19,,
u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/GND,GND,,
u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/u_LUT6,LUT6,SLICE_X46Y36,SLICEM.A6LUT
u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1,LUT6_not1_20,,
u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/GND,GND,,
u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/u_LUT6,LUT6,SLICE_X46Y37,SLICEM.A6LUT
u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1,LUT6_not1_21,,
u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/GND,GND,,
u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6,LUT6,SLICE_X49Y45,SLICEL.B6LUT
u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1,LUT6_nand2_1,,
u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/GND,GND,,
u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6,LUT6,SLICE_X47Y33,SLICEL.A6LUT
u_entropy_source/SAMPLE_DATA_LINE_LOOP[0].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[0],FDRE,SLICE_X45Y31,SLICEL.A5FF
