name,ref_name_formal,ref_name_compact,formal_loc,compact_loc,formal_bel,compact_bel,loc_changed,bel_changed
state_count[25]_i_1,LUT6,LUT6,SLICE_X42Y42,SLICE_X42Y40,SLICEM.A6LUT,SLICEM.A6LUT,True,False
state_count[26]_i_1,LUT6,LUT6,SLICE_X42Y42,SLICE_X41Y40,SLICEM.B6LUT,SLICEL.B6LUT,True,True
state_count[27]_i_1,LUT6,LUT6,SLICE_X42Y42,SLICE_X41Y40,SLICEM.C6LUT,SLICEL.C6LUT,True,True
state_count[28]_i_1,LUT6,LUT6,SLICE_X42Y42,SLICE_X41Y40,SLICEM.D6LUT,SLICEL.D6LUT,True,True
state_count[29]_i_1,LUT6,LUT6,SLICE_X43Y43,SLICE_X41Y41,SLICEL.A6LUT,SLICEL.A6LUT,True,False
state_count[2]_i_1,LUT6,LUT6,SLICE_X40Y39,SLICE_X39Y35,SLICEL.D6LUT,SLICEL.B6LUT,True,True
state_count[30]_i_1,LUT6,LUT6,SLICE_X44Y43,SLICE_X41Y41,SLICEL.A6LUT,SLICEL.B6LUT,True,True
state_count[31]_i_1,LUT6,LUT6,SLICE_X44Y43,SLICE_X41Y41,SLICEL.B6LUT,SLICEL.C6LUT,True,True
state_count[32]_i_1,LUT6,LUT6,SLICE_X43Y43,SLICE_X41Y41,SLICEL.B6LUT,SLICEL.D6LUT,True,True
state_count[33]_i_1,LUT6,LUT6,SLICE_X42Y44,SLICE_X41Y42,SLICEM.A6LUT,SLICEL.A6LUT,True,True
state_count[34]_i_1,LUT6,LUT6,SLICE_X42Y44,SLICE_X41Y42,SLICEM.B6LUT,SLICEL.B6LUT,True,True
state_count[35]_i_1,LUT6,LUT6,SLICE_X42Y44,SLICE_X41Y42,SLICEM.C6LUT,SLICEL.C6LUT,True,True
state_count[36]_i_1,LUT6,LUT6,SLICE_X42Y44,SLICE_X41Y42,SLICEM.D6LUT,SLICEL.D6LUT,True,True
state_count[37]_i_1,LUT6,LUT6,SLICE_X42Y45,SLICE_X41Y43,SLICEM.A6LUT,SLICEL.A6LUT,True,True
state_count[38]_i_1,LUT6,LUT6,SLICE_X42Y45,SLICE_X41Y43,SLICEM.B6LUT,SLICEL.B6LUT,True,True
state_count[39]_i_1,LUT6,LUT6,SLICE_X42Y45,SLICE_X41Y43,SLICEM.C6LUT,SLICEL.C6LUT,True,True
state_count[3]_i_1,LUT6,LUT6,SLICE_X40Y38,SLICE_X41Y38,SLICEL.C6LUT,SLICEL.C6LUT,True,False
state_count[40]_i_1,LUT6,LUT6,SLICE_X42Y45,SLICE_X41Y43,SLICEM.D6LUT,SLICEL.D6LUT,True,True
state_count[41]_i_1,LUT6,LUT6,SLICE_X42Y46,SLICE_X41Y44,SLICEM.A6LUT,SLICEL.A6LUT,True,True
state_count[42]_i_1,LUT6,LUT6,SLICE_X42Y46,SLICE_X41Y44,SLICEM.B6LUT,SLICEL.B6LUT,True,True
state_count[43]_i_1,LUT6,LUT6,SLICE_X42Y46,SLICE_X41Y44,SLICEM.C6LUT,SLICEL.C6LUT,True,True
state_count[44]_i_1,LUT6,LUT6,SLICE_X42Y46,SLICE_X41Y44,SLICEM.D6LUT,SLICEL.D6LUT,True,True
state_count[45]_i_1,LUT6,LUT6,SLICE_X42Y47,SLICE_X41Y45,SLICEM.A6LUT,SLICEL.A6LUT,True,True
state_count[46]_i_1,LUT6,LUT6,SLICE_X42Y47,SLICE_X41Y45,SLICEM.B6LUT,SLICEL.B6LUT,True,True
state_count[47]_i_1,LUT6,LUT6,SLICE_X42Y47,SLICE_X41Y45,SLICEM.C6LUT,SLICEL.C6LUT,True,True
state_count[48]_i_1,LUT6,LUT6,SLICE_X42Y47,SLICE_X41Y45,SLICEM.D6LUT,SLICEL.D6LUT,True,True
state_count[49]_i_1,LUT6,LUT6,SLICE_X39Y48,SLICE_X41Y46,SLICEL.A6LUT,SLICEL.A6LUT,True,False
state_count[4]_i_1,LUT6,LUT6,SLICE_X40Y38,SLICE_X41Y35,SLICEL.D6LUT,SLICEL.A6LUT,True,True
state_count[50]_i_1,LUT6,LUT6,SLICE_X39Y48,SLICE_X41Y46,SLICEL.B6LUT,SLICEL.B6LUT,True,False
state_count[51]_i_1,LUT6,LUT6,SLICE_X39Y48,SLICE_X41Y46,SLICEL.C6LUT,SLICEL.C6LUT,True,False
