label_a,label_b,group,name,loc_a,loc_b,bel_a,bel_b,loc_changed,bel_changed
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[5].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[40],SLICE_X45Y36,SLICE_X45Y36,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[5].SAMPLE_DATA_BIT_LOOP[1].sampled_data_reg[41],SLICE_X46Y36,SLICE_X46Y36,SLICEM.A5FF,SLICEM.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[5].SAMPLE_DATA_BIT_LOOP[2].sampled_data_reg[42],SLICE_X47Y36,SLICE_X47Y36,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[5].SAMPLE_DATA_BIT_LOOP[3].sampled_data_reg[43],SLICE_X48Y36,SLICE_X48Y36,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[5].SAMPLE_DATA_BIT_LOOP[4].sampled_data_reg[44],SLICE_X49Y36,SLICE_X49Y36,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[5].SAMPLE_DATA_BIT_LOOP[5].sampled_data_reg[45],SLICE_X50Y36,SLICE_X50Y36,SLICEM.A5FF,SLICEM.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[5].SAMPLE_DATA_BIT_LOOP[6].sampled_data_reg[46],SLICE_X51Y36,SLICE_X51Y36,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[5].SAMPLE_DATA_BIT_LOOP[7].sampled_data_reg[47],SLICE_X52Y36,SLICE_X52Y36,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[48],SLICE_X45Y37,SLICE_X45Y37,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[1].sampled_data_reg[49],SLICE_X46Y37,SLICE_X46Y37,SLICEM.A5FF,SLICEM.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[2].sampled_data_reg[50],SLICE_X47Y37,SLICE_X47Y37,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[3].sampled_data_reg[51],SLICE_X48Y37,SLICE_X48Y37,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[4].sampled_data_reg[52],SLICE_X49Y37,SLICE_X49Y37,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[5].sampled_data_reg[53],SLICE_X50Y37,SLICE_X50Y37,SLICEM.A5FF,SLICEM.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[6].sampled_data_reg[54],SLICE_X51Y37,SLICE_X51Y37,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[7].sampled_data_reg[55],SLICE_X52Y37,SLICE_X52Y37,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[7].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[56],SLICE_X45Y38,SLICE_X45Y38,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[7].SAMPLE_DATA_BIT_LOOP[1].sampled_data_reg[57],SLICE_X46Y38,SLICE_X46Y38,SLICEM.A5FF,SLICEM.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[7].SAMPLE_DATA_BIT_LOOP[2].sampled_data_reg[58],SLICE_X47Y38,SLICE_X47Y38,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[7].SAMPLE_DATA_BIT_LOOP[3].sampled_data_reg[59],SLICE_X48Y38,SLICE_X48Y38,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[7].SAMPLE_DATA_BIT_LOOP[4].sampled_data_reg[60],SLICE_X49Y38,SLICE_X49Y38,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[7].SAMPLE_DATA_BIT_LOOP[5].sampled_data_reg[61],SLICE_X50Y38,SLICE_X50Y38,SLICEM.A5FF,SLICEM.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[7].SAMPLE_DATA_BIT_LOOP[6].sampled_data_reg[62],SLICE_X51Y38,SLICE_X51Y38,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[7].SAMPLE_DATA_BIT_LOOP[7].sampled_data_reg[63],SLICE_X52Y38,SLICE_X52Y38,SLICEL.A5FF,SLICEL.A5FF,False,False
