label,input_file,input_sha256,restart_count,bytes_per_restart,overall_p1,row_ones_mean,row_ones_std,worst_byte,worst_bit_lsb_index,worst_ones,worst_zeros,worst_x,worst_p1,msb_column,lsb_column,bitrev_msb_column,byte_reverse_msb_column,byte_reverse_lsb_column,cyclic_shift1_msb_column,cyclic_shift4_msb_column
random3_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_repeat02_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_repeat02_20260515.bin,743E2A6536BFFAADDBFEE8F45FFE8DE4D14734504118CAFB3D3DAB7A2A1C7CAD,1000,125,0.415849,415.849,16.044132852853096,6,0,367,633,633,0.367,55,48,48,951,944,48,51
random3_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_repeat03_20260522_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_repeat03_20260522_20260515.bin,7137FCE666E125EE580295C24FFCE61E9D1212C580DCB99E473174A117D5E7C2,1000,125,0.414384,414.384,15.996266564420587,1,6,369,631,631,0.369,9,14,14,985,990,10,13
random3_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_20260515.bin,4418C3D6550684637B56121F96A906F48B128B63139991A3B8C827D2C30A6BA9,1000,125,0.469088,469.088,15.564069390747395,1,3,417,583,583,0.417,12,11,11,988,987,13,8
random3_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_repeat02_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_repeat02_20260515.bin,806E52B1C50539152C6AE5450E7CD47E961DFC4B9E0197788F722711386A0BB6,1000,125,0.469261,469.261,15.591243664313634,68,3,412,588,588,0.412,548,547,547,452,451,549,544
random3_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_repeat03_20260522_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_repeat03_20260522_20260515.bin,B56BAD329A0062D4B6FD7EA4597D2F5346CF9FCEB65A738FAAB07057C598DEAD,1000,125,0.46769,467.69,15.068042341326228,0,5,405,595,595,0.405,2,5,5,994,997,3,6
random3_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_20260515.bin,E5F690CF5545F5EBF7271175472F2B2D36033E750C060F569B196CC08CB3B2C0,1000,125,0.499478,499.478,16.205292839069585,88,3,562,438,562,0.562,708,707,707,292,291,709,704
random3_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_repeat02_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_repeat02_20260515.bin,2137FD20C71F1245E2568E4AFE4F86FA126B04536E4E63588CE1257D2E0BA134,1000,125,0.499506,499.506,15.518826115399323,118,1,451,549,549,0.451,950,945,945,54,49,951,946
random3_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_repeat03_20260522_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_repeat03_20260522_20260515.bin,5D38169A047740B6C0CD432D023818111414CBC33059845ABF9D3EB0F1C34B67,1000,125,0.499348,499.348,16.207309955695916,35,0,450,550,550,0.45,287,280,280,719,712,280,283
random3_restart_auto_formal_bits_1000x125_warmup16_header_delay60s_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup16_header_delay60s_20260515.bin,8084E1AB95062564ACE582113520A54163CADA96E12C1A2211DE2C044AC860E7,1000,125,0.499126,499.126,15.35187688851106,43,7,547,453,547,0.547,344,351,351,648,655,345,348
random3_restart_auto_formal_bits_1000x125_warmup8_header_delay60s_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup8_header_delay60s_20260515.bin,4ECD7CCE25B950BE4F1B6715BD877B2D7A4CA1286D04B6B397D2BC0FB4357423,1000,125,0.374385,374.385,15.524843799536278,2,2,279,721,721,0.279,21,18,18,981,978,22,17
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run02_20260525,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run02_20260525.bin,9FF880AA0D82E27C7FCAAD0AED6183E2878E2299EB19B276E38EF54799BE6873,1000,125,0.499754,499.754,16.111222299999465,109,4,448,552,552,0.448,875,876,876,123,124,876,879
