row_id,board,route_label,result_case,warmup,observed_p1,observed_abs_bias,sample_ro_pips,sampled_data_pips,data_ro_pips,total_pips_audited,sample_to_data_pip_ratio,neighborhood_rows,correlation_scope,limitation,route_source,result_source
per_bitstream_route_audit_second_heldout_per_bitstream_route_audit_20260530_5,,second_data_ro3,,,,,8928,30,16108,,,252,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\second_heldout_sampler_route_diff_20260530\second_heldout_per_bitstream_route_audit_20260530.csv,data\experiments\second_heldout_sampler_route_diff_20260530\second_heldout_per_bitstream_route_audit_20260530.csv
per_bitstream_route_audit_second_heldout_per_bitstream_route_audit_20260530_6,,second_data_ro4,,,,,8805,32,16138,,,149,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\second_heldout_sampler_route_diff_20260530\second_heldout_per_bitstream_route_audit_20260530.csv,data\experiments\second_heldout_sampler_route_diff_20260530\second_heldout_per_bitstream_route_audit_20260530.csv
per_bitstream_route_audit_second_heldout_per_bitstream_route_audit_20260530_7,,second_data_ro5,,,,,8782,36,16177,,,378,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\second_heldout_sampler_route_diff_20260530\second_heldout_per_bitstream_route_audit_20260530.csv,data\experiments\second_heldout_sampler_route_diff_20260530\second_heldout_per_bitstream_route_audit_20260530.csv
per_bitstream_route_audit_second_heldout_per_bitstream_route_audit_20260530_8,,second_data_ro6,,,,,8722,35,16186,,,165,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\second_heldout_sampler_route_diff_20260530\second_heldout_per_bitstream_route_audit_20260530.csv,data\experiments\second_heldout_sampler_route_diff_20260530\second_heldout_per_bitstream_route_audit_20260530.csv
per_bitstream_route_audit_second_heldout_per_bitstream_route_audit_20260530_9,,second_data_ro7,,,,,8811,35,16225,,,243,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\second_heldout_sampler_route_diff_20260530\second_heldout_per_bitstream_route_audit_20260530.csv,data\experiments\second_heldout_sampler_route_diff_20260530\second_heldout_per_bitstream_route_audit_20260530.csv
per_bitstream_route_audit_second_heldout_per_bitstream_route_audit_20260530_10,,second_except_data_ro0,,,,,8760,276,16282,,,455,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\second_heldout_sampler_route_diff_20260530\second_heldout_per_bitstream_route_audit_20260530.csv,data\experiments\second_heldout_sampler_route_diff_20260530\second_heldout_per_bitstream_route_audit_20260530.csv
per_bitstream_route_audit_second_heldout_per_bitstream_route_audit_20260530_11,,second_except_data_ro1,,,,,8760,273,16240,,,513,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\second_heldout_sampler_route_diff_20260530\second_heldout_per_bitstream_route_audit_20260530.csv,data\experiments\second_heldout_sampler_route_diff_20260530\second_heldout_per_bitstream_route_audit_20260530.csv
per_bitstream_route_audit_second_heldout_per_bitstream_route_audit_20260530_12,,second_except_data_ro2,,,,,8663,281,16220,,,624,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\second_heldout_sampler_route_diff_20260530\second_heldout_per_bitstream_route_audit_20260530.csv,data\experiments\second_heldout_sampler_route_diff_20260530\second_heldout_per_bitstream_route_audit_20260530.csv
per_bitstream_route_audit_second_heldout_per_bitstream_route_audit_20260530_13,,second_except_data_ro3,,,,,8719,277,16214,,,299,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\second_heldout_sampler_route_diff_20260530\second_heldout_per_bitstream_route_audit_20260530.csv,data\experiments\second_heldout_sampler_route_diff_20260530\second_heldout_per_bitstream_route_audit_20260530.csv
per_bitstream_route_audit_second_heldout_per_bitstream_route_audit_20260530_14,,second_except_data_ro4,,,,,8728,271,16317,,,612,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\second_heldout_sampler_route_diff_20260530\second_heldout_per_bitstream_route_audit_20260530.csv,data\experiments\second_heldout_sampler_route_diff_20260530\second_heldout_per_bitstream_route_audit_20260530.csv
