board,context,implementation,warmup,kind,index,p1,signed_bias,abs_bias,beta_factor,min_entropy,worst_x,worst_p1,source_file
z7020_b02,second_heldout_sample_ro_local,board2_second_heldout_sampler,10,data_ro,1,0.434643000,-0.065357000,0.065357000,0.130714000,0.822765936,87,0.353000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_second_heldout_sampler_20260530\summary\second_heldout_reduced_xor_full_map.csv
z7020_b02,second_heldout_sample_ro_local,board2_second_heldout_sampler,10,data_ro,2,0.279127000,-0.220873000,0.220873000,0.441746000,0.472182980,1,0.153000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_second_heldout_sampler_20260530\summary\second_heldout_reduced_xor_full_map.csv
z7020_b02,second_heldout_sample_ro_local,board2_second_heldout_sampler,10,data_ro,3,0.413600000,-0.086400000,0.086400000,0.172800000,0.770042991,11,0.209000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_second_heldout_sampler_20260530\summary\second_heldout_reduced_xor_full_map.csv
z7020_b02,second_heldout_sample_ro_local,board2_second_heldout_sampler,10,data_ro,4,0.553844000,0.053844000,0.053844000,-0.107688000,0.852448422,6,0.687000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_second_heldout_sampler_20260530\summary\second_heldout_reduced_xor_full_map.csv
z7020_b02,second_heldout_sample_ro_local,board2_second_heldout_sampler,10,data_ro,5,0.388732000,-0.111268000,0.111268000,0.222536000,0.710123051,8,0.209000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_second_heldout_sampler_20260530\summary\second_heldout_reduced_xor_full_map.csv
z7020_b02,second_heldout_sample_ro_local,board2_second_heldout_sampler,10,data_ro,6,0.266048000,-0.233952000,0.233952000,0.467904000,0.446242380,14,0.067000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_second_heldout_sampler_20260530\summary\second_heldout_reduced_xor_full_map.csv
z7020_b02,second_heldout_sample_ro_local,board2_second_heldout_sampler,10,data_ro,7,0.518448000,0.018448000,0.018448000,-0.036896000,0.947728800,14,0.769000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_second_heldout_sampler_20260530\summary\second_heldout_reduced_xor_full_map.csv
z7020_b02,second_heldout_sample_ro_local,board2_second_heldout_sampler,10,except_data_ro,0,0.498802000,-0.001198000,0.001198000,0.002396000,0.996547437,172,0.547000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_second_heldout_sampler_20260530\summary\second_heldout_reduced_xor_full_map.csv
z7020_b02,second_heldout_sample_ro_local,board2_second_heldout_sampler,10,except_data_ro,1,0.626670000,0.126670000,0.126670000,-0.253340000,0.674222165,134,0.690000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_second_heldout_sampler_20260530\summary\second_heldout_reduced_xor_full_map.csv
z7020_b02,second_heldout_sample_ro_local,board2_second_heldout_sampler,10,except_data_ro,2,0.510841000,0.010841000,0.010841000,-0.021682000,0.969053775,4,0.598000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_second_heldout_sampler_20260530\summary\second_heldout_reduced_xor_full_map.csv
z7020_b02,second_heldout_sample_ro_local,board2_second_heldout_sampler,10,except_data_ro,3,0.499979000,-0.000021000,0.000021000,0.000042000,0.999939408,886,0.442000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_second_heldout_sampler_20260530\summary\second_heldout_reduced_xor_full_map.csv
z7020_b02,second_heldout_sample_ro_local,board2_second_heldout_sampler,10,except_data_ro,4,0.510065000,0.010065000,0.010065000,-0.020130000,0.971246987,14,0.573000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_second_heldout_sampler_20260530\summary\second_heldout_reduced_xor_full_map.csv
